LR,DEAD_MEAN,DEAD_STD,EQ_MIN,MSQE,STD
0.001,19.6,2.81410588273,3.5703346160725067,5.46996066867,0.72843070903
0.0453333333333,20.0,0.0,4.101190551457864,5.68096329831,0.754325858277
0.0896666666667,19.4,3.42893215996,3.7904928329698664,5.56354712892,0.719887727796
0.134,19.4,3.42893215996,3.6397739686997874,5.49972058347,0.803198104159
0.178333333333,19.6,2.81410588273,3.3403872018800675,5.44260351378,0.737780592819
0.222666666667,19.6,2.81410588273,3.7482532355821143,5.57365614377,0.837587152183
0.267,20.0,0.0,3.883133087599172,5.41554530879,0.673753227387
0.311333333333,19.8,2.0,3.786901547269747,5.57550664296,0.730946308586
0.355666666667,19.8,2.0,3.77692764032748,5.50485195254,0.778428864515
0.4,19.8,2.0,3.5767182261622033,5.59386390221,0.81638572669
