LR,DEAD_MEAN,DEAD_STD,EQ_MIN,MSQE,STD
0.001,13.4,9.45163125251,1.126487929656787,2.20667464973,0.412835324931
0.0453333333333,15.2,8.58469391982,1.425856259222259,2.11729982454,0.351135079374
0.0896666666667,15.4,8.45905169363,0.8740817727172512,2.18227116097,0.411889234971
0.134,16.4,7.72245839331,1.248023040915356,2.12773242035,0.360638563763
0.178333333333,14.4,9.02521719708,1.1835866238751707,2.16917733759,0.398958187739
0.222666666667,15.4,8.45905169363,1.0697994697268136,2.13495749304,0.372571119167
0.267,13.0,9.58744970882,0.9314352512730686,2.10561332163,0.41557704542
0.311333333333,15.6,8.32666399786,1.0448679758123962,2.18946562971,0.407083045178
0.355666666667,15.8,8.18720361481,1.0833724344078832,2.11761557591,0.4017147451
0.4,16.8,7.36905898355,1.2969247015134422,2.19931696169,0.381412358489
