LR,Tired number,MSQE,STD,DEAD_AVG,DEAD_STD
0.001,0,26.309698183575176,2.2421192815189315,0.0,0.0
0.10075,0,13.02377579569316,0.4105946662834829,0.0,0.0
0.2005,0,13.394875401299087,0.3924333382926201,0.0,0.0
0.30025,0,13.751480909371997,0.4822144631730451,0.0,0.0
0.4,0,14.012926096987917,0.5228624556229623,0.0,0.0
0.2,0,13.382569244586874,0.3815385268624884,0.0,0.0
0.2,2,13.398978356099963,0.34759563652025915,0.0,0.0
0.2,4,13.319203250583707,0.3679563469952727,0.0,0.0
0.2,6,13.304949252585686,0.4031645730157059,0.0,0.0
0.2,8,13.362628435615354,0.40115848000418847,0.0,0.0
