LR,Tired number,MSQE,STD,DEAD_AVG,DEAD_STD
0.001,0,12.492374891591096,0.7476187204895257,0.0,0.0
0.10075,0,12.544243428194353,0.8268104242727817,0.0,0.0
0.2005,0,12.50998449513851,0.858639195064427,0.0,0.0
0.30025,0,12.49020318839649,0.8579282097918823,0.0,0.0
0.4,0,12.599279024665998,0.815200030580907,0.0,0.0
0.2,0,12.274895724337634,0.7035710428620466,0.0,0.0
0.2,2,12.997314186243914,0.9437186420501206,0.0,0.0
0.2,4,13.533003204397955,0.8748275075089891,0.0,0.0
0.2,6,14.1024362188805,0.7745023021701246,0.0,0.0
0.2,8,15.51349507186368,0.8074447941512217,0.0,0.0
0.001,0,29.489717164549994,0.2584229273072892,0.0,0.0
0.10075,0,29.455928069076077,0.2530768257812639,0.0,0.0
0.2005,0,29.49988793438601,0.261387028069924,0.0,0.0
0.30025,0,29.479232307132474,0.23028417692792846,0.0,0.0
0.4,0,29.4488314582998,0.242526214552208,0.0,0.0
0.2,0,29.521864972641538,0.2716717958849565,0.0,0.0
0.2,2,30.204224483620074,0.3286802864998217,0.0,0.0
0.2,4,31.040861701706522,0.4767604377108668,0.0,0.0
0.2,6,31.773118422464226,0.46631757648484623,0.0,0.0
0.2,8,32.85857600177077,0.6161033949035896,0.0,0.0
