LR,Tired number,MSQE,STD,DEAD_AVG,DEAD_STD
0.001,0,12.492374891591096,0.7476187204895257,0.0,0.0
0.10075,0,12.544243428194353,0.8268104242727817,0.0,0.0
0.2005,0,12.50998449513851,0.858639195064427,0.0,0.0
0.30025,0,12.49020318839649,0.8579282097918823,0.0,0.0
0.4,0,12.599279024665998,0.815200030580907,0.0,0.0
0.2,0,12.274895724337634,0.7035710428620466,0.0,0.0
0.2,2,12.997314186243914,0.9437186420501206,0.0,0.0
0.2,4,13.533003204397955,0.8748275075089891,0.0,0.0
0.2,6,14.1024362188805,0.7745023021701246,0.0,0.0
0.2,8,15.51349507186368,0.8074447941512217,0.0,0.0
0.001,0,29.489717164549994,0.2584229273072892,0.0,0.0
0.10075,0,29.455928069076077,0.2530768257812639,0.0,0.0
0.2005,0,29.49988793438601,0.261387028069924,0.0,0.0
0.30025,0,29.479232307132474,0.23028417692792846,0.0,0.0
0.4,0,29.4488314582998,0.242526214552208,0.0,0.0
0.2,0,29.521864972641538,0.2716717958849565,0.0,0.0
0.2,2,30.204224483620074,0.3286802864998217,0.0,0.0
0.2,4,31.040861701706522,0.4767604377108668,0.0,0.0
0.2,6,31.773118422464226,0.46631757648484623,0.0,0.0
0.2,8,32.85857600177077,0.6161033949035896,0.0,0.0
0.001,0,30.12128580874204,0.2613185876554884,0.0,0.0
0.10075,0,30.099588111262506,0.24695001475645695,0.0,0.0
0.2005,0,30.117684257705196,0.22778186050782337,0.0,0.0
0.30025,0,30.077420462219575,0.22311729051710397,0.0,0.0
0.4,0,30.107490835089884,0.2715701150842497,0.0,0.0
0.2,0,30.068279447712452,0.24412327558721847,0.0,0.0
0.2,2,30.740851625551485,0.36324414520515513,0.0,0.0
0.2,4,31.383212640378037,0.393713756019191,0.0,0.0
0.2,6,32.1059589895109,0.5277755595519104,0.0,0.0
0.2,8,33.09047950697544,0.6283666136144317,0.0,0.0
0.001,0,32.062156085770894,0.9079614999523925,0.0,0.0
0.10075,0,32.268366695159735,1.0405039980823387,0.0,0.0
0.2005,0,32.030823907948744,0.8018252226896198,0.0,0.0
0.30025,0,32.13984048136936,0.9179098223915739,0.0,0.0
0.4,0,32.176072338312935,0.8503812050617053,0.0,0.0
0.2,0,31.95196924031706,0.8241770707375803,0.0,0.0
0.2,2,32.27962078076188,0.9149182997371771,0.0,0.0
0.2,4,32.68053461916134,0.7815841519587888,0.0,0.0
0.2,6,34.25425018396198,0.9434427704351555,0.0,0.0
0.2,8,37.753033521938555,1.5021026010685998,0.0,0.0
