LR,Tired number,MSQE,STD,DEAD_AVG,DEAD_STD
0.001,0,12.492374891591096,0.7476187204895257,0.0,0.0
0.10075,0,12.544243428194353,0.8268104242727817,0.0,0.0
0.2005,0,12.50998449513851,0.858639195064427,0.0,0.0
0.30025,0,12.49020318839649,0.8579282097918823,0.0,0.0
0.4,0,12.599279024665998,0.815200030580907,0.0,0.0
0.2,0,12.274895724337634,0.7035710428620466,0.0,0.0
0.2,2,12.997314186243914,0.9437186420501206,0.0,0.0
0.2,4,13.533003204397955,0.8748275075089891,0.0,0.0
0.2,6,14.1024362188805,0.7745023021701246,0.0,0.0
0.2,8,15.51349507186368,0.8074447941512217,0.0,0.0
