LR,Tired number,MSQE,STD,DEAD_AVG,DEAD_STD
0.001,0,26.309698183575176,2.2421192815189315,0.0,0.0
0.10075,0,13.02377579569316,0.4105946662834829,0.0,0.0
0.2005,0,13.394875401299087,0.3924333382926201,0.0,0.0
0.30025,0,13.751480909371997,0.4822144631730451,0.0,0.0
0.4,0,14.012926096987917,0.5228624556229623,0.0,0.0
0.2,0,13.382569244586874,0.3815385268624884,0.0,0.0
0.2,2,13.398978356099963,0.34759563652025915,0.0,0.0
0.2,4,13.319203250583707,0.3679563469952727,0.0,0.0
0.2,6,13.304949252585686,0.4031645730157059,0.0,0.0
0.2,8,13.362628435615354,0.40115848000418847,0.0,0.0
0.001,0,40.65851706963001,2.220349295699988,0.0,0.0
0.10075,0,31.545740219759537,0.3450620609482058,0.0,0.0
0.2005,0,31.68874679303617,0.4883011920568228,0.0,0.0
0.30025,0,32.276285581669306,0.6194902671932121,0.0,0.0
0.4,0,33.17378569038372,0.7869281297550311,0.0,0.0
0.2,0,31.697671961850293,0.4355106207368358,0.0,0.0
0.2,2,31.81108826987409,0.46636190863855,0.0,0.0
0.2,4,31.760993969985005,0.4522910013045964,0.0,0.0
0.2,6,31.76812893610304,0.4704487810267251,0.0,0.0
0.2,8,31.700739193297377,0.3994342867254455,0.0,0.0
0.001,0,43.91690583675849,2.2030175576438515,0.0,0.0
0.10075,0,31.5769763704473,0.3003681633078447,0.0,0.0
0.2005,0,32.138413419485666,0.47575218162030203,0.0,0.0
0.30025,0,32.93534635197037,0.6416703430410426,0.0,0.0
0.4,0,33.6445536883426,0.8014195322543943,0.0,0.0
0.2,0,32.04026137880446,0.47301169365187445,0.0,0.0
0.2,2,32.12809994324302,0.45720319638022616,0.0,0.0
0.2,4,32.066018865608186,0.4976317935459944,0.0,0.0
0.2,6,32.086402654488296,0.4828723237114477,0.0,0.0
0.2,8,32.10148880758471,0.44113538181465084,0.0,0.0
